station,longitude,latitude,elevation,depth_t,uncert_t,qual_t,depth_c,uncert_c,qual_c,depth_m,uncert_m,qual_m,thick0,thick1,thick2,vs0,vs1,vs2,vpvs0,vpvs1,vpvs2,strike,dip
YW.FAC1,-123.637,45.04,0.15,28.6677,2.1,A,32.9425,2.9,A,40.944,2.9,A,28.8177,4.2748,8.0015,3.5643,2.6505,4.0466,1.859243,2.030636,1.7715610000000002,-10.0,14.4
YW.FACK,-123.073,44.838,0.24,43.2622,2.9,A,48.9508,2.1,A,50.4313,2.1,B,43.5022,5.6886,1.4805,3.8834,2.2239,3.2969,1.859093,2.802509,1.7713,38.2,12.1
UO.UCHR,-123.87100000000001,44.835,0.74,24.7235,1.4,A,30.3954,1.4,A,34.0355,1.4,A,25.4635,5.6719,3.6401,3.7729,2.7965,3.558,1.857457,1.79882,1.9055369999999998,13.4,12.5
TA.H03A,-123.292,44.676,0.21,35.6884,3.6,A,41.3875,3.6,A,43.9205,3.6,B,35.8984,5.6991,2.533,3.8532,2.8127,3.6366,1.8569240000000002,3.3149290000000002,1.8945990000000001,35.4,3.9
TA.H02A,-124.0,44.676,0.21,23.5814,1.4,A,29.7652,2.1,A,31.5303,2.1,A,23.7914,6.1838,1.7651,3.8068,2.2239,3.8581,1.859173,3.499303,1.7712860000000001,8.2,12.5
XA.TOL0,-124.0,44.676,0.19,28.154,2.9,C,33.7242,6.4,C,36.3155,6.4,C,28.344,5.5702,2.5913,3.8082,2.063,3.7423,1.804632,3.376054,1.909334,15.6,30.0
UW.TOLO,-123.92299999999999,44.622,0.01,26.4906,1.4,C,26.6124,6.4,C,36.2118,1.4,C,26.5006,0.1218,9.5994,3.5517,2.2388,4.0497,1.6730580000000002,2.314454,1.908339,29.0,7.1
UW.BABR,-123.789,44.621,0.44,24.9478,2.1,A,30.6409,2.1,A,36.299,2.1,A,25.3878,5.6931,5.6581,3.6337,2.5995,3.7339,1.8243939999999998,3.4690519999999996,1.7818630000000002,18.8,3.3
XA.BWO0,-123.566,44.611999999999995,0.29,34.121,2.1,A,39.7628,3.6,A,45.9793,2.1,A,34.411,5.6418,6.2165,3.8203,2.8972,4.0499,1.859121,2.245962,1.9099979999999999,31.1,17.6
IU.COR,-123.305,44.586000000000006,0.11,39.6043,1.4,A,43.6222,2.1,A,45.8138,2.1,B,39.7143,4.0179,2.1916,3.9395,2.5484,3.5809,1.859982,3.188197,1.7699740000000002,30.0,11.1
CL.WLOO,-122.738,44.523,0.28,44.8593,6.4,X,45.0393,6.4,X,59.5079,3.6,C,45.1393,0.18,14.4686,3.6966,2.6302,3.8692,1.766975,1.7939319999999999,1.809418,16.8,11.9
XZ.A17,-123.241,44.434,0.08,41.6029,2.1,A,47.4765,2.1,A,53.4614,2.1,A,41.6829,5.8736,5.9849,3.8496,2.455,4.05,1.851621,2.404603,1.77,9.3,16.3
XZ.A18,-123.185,44.431000000000004,0.09,37.845,6.4,C,47.5784,6.4,C,49.0699,6.4,C,37.935,9.7334,1.4915,3.7786,3.0988,3.9745,1.849045,2.4290689999999997,1.771443,19.5,14.2
XZ.A13,-123.45100000000001,44.43,0.41,41.5054,6.4,C,48.4891,6.4,C,54.5091,6.4,C,41.9154,6.9837,6.02,3.941,2.6451,3.3115,1.816544,1.8266229999999999,1.794323,-11.8,29.2
XZ.A01,-124.04899999999999,44.428999999999995,0.05,22.9754,2.1,C,30.3559,6.4,C,36.7508,6.4,C,23.0254,7.3805,6.3949,3.6341,2.3054,3.3867,1.700063,2.051184,1.771134,88.1,19.3
XZ.A15,-123.34100000000001,44.428999999999995,0.16,36.7197,2.9,A,41.8453,2.1,A,50.2005,2.1,A,36.8797,5.1256,8.3552,3.5938,2.4796,4.0449,1.858339,2.877319,1.8190810000000002,5.4,15.6
XZ.A27,-122.73299999999999,44.427,0.29,,,D,,,D,,,D,,,,,,,,,,,
XZ.A23,-122.944,44.427,0.25,43.1145,6.4,X,49.0512,6.4,X,57.8513,6.4,X,43.3645,5.9367,8.8001,3.8287,2.364,4.0049,1.8466580000000001,3.494628,1.7989959999999998,54.7,29.9
XZ.A05,-123.852,44.427,0.59,25.4046,2.1,A,28.8173,1.4,A,31.4395,1.4,B,25.9946,3.4127,2.6222,3.5205,2.6684,3.8777,1.856043,3.3848,1.848338,-46.7,2.5
XZ.A06,-123.805,44.427,0.49,27.6013,2.1,A,32.2307,1.4,A,35.6959,1.4,A,28.0913,4.6294,3.4652,3.956,2.2443,3.2633,1.859884,3.496636,1.876689,89.4,7.5
XZ.A14,-123.4,44.426,0.22,37.3519,2.1,A,43.0176,2.1,C,48.2241,2.1,C,37.5719,5.6657,5.2065,3.9521,2.7817,3.8833,1.8583029999999998,2.185894,1.7700919999999998,57.1,13.3
XZ.A19,-123.14200000000001,44.426,0.08,47.0793,6.4,X,51.7119,6.4,X,56.723,6.4,X,47.1593,4.6326,5.0111,3.7107,2.6861,3.4783,1.8377130000000002,2.4551580000000004,1.787597,-89.8,13.0
XZ.A09,-123.65700000000001,44.426,0.89,37.1777,2.9,C,44.9448,3.6,C,51.9697,3.6,C,38.0677,7.7671,7.0249,3.9549,2.592,4.0383,1.8545599999999998,1.7870759999999999,1.9068919999999998,-11.7,30.7
XZ.A25,-122.844,44.425,0.29,54.9321,6.4,X,55.2599,6.4,X,67.0252,6.4,X,55.2221,0.3278,11.7653,3.9537,2.6788,3.3083,1.842426,3.4007389999999997,1.815464,-28.6,25.5
XZ.A22,-122.984,44.425,0.11,50.9185,6.4,X,57.7405,6.4,X,60.3229,6.4,X,51.0285,6.822,2.5824,3.8491,2.1291,3.283,1.6955650000000002,2.360763,1.7714590000000001,61.6,29.7
XZ.A20,-123.09299999999999,44.424,0.09,45.6939,6.4,X,52.4213,6.4,X,57.7499,6.4,X,45.7839,6.7274,5.3286,3.7299,3.034,3.4878,1.778948,1.782762,1.9096849999999999,76.4,23.4
XZ.A03,-123.948,44.423,0.44,23.5994,1.4,A,28.8992,2.1,A,32.5857,2.1,A,24.0394,5.2998,3.6865,3.5832,2.5698,3.7821,1.859148,1.989882,1.9081990000000002,-28.5,9.7
XZ.A24,-122.898,44.422,0.55,43.9776,6.4,X,47.2244,6.4,X,57.2076,6.4,X,44.5276,3.2468,9.9832,3.7593,2.4366,3.4781,1.773628,1.8774110000000002,1.836175,88.8,16.4
XZ.A08,-123.70100000000001,44.42100000000001,0.79,26.6832,1.4,A,31.2167,1.4,A,35.7404,1.4,A,27.4732,4.5335,4.5237,3.5428,1.9365,3.2616,1.7912099999999997,3.4013940000000003,1.893457,-1.2,11.7
XZ.A11,-123.539,44.42100000000001,0.14,33.5494,2.1,A,40.8281,3.6,A,44.1849,2.1,A,33.6894,7.2787,3.3568,3.7955,2.6307,3.4606,1.8537740000000003,2.062911,1.770502,14.1,14.7
XZ.A02,-124.00299999999999,44.42,0.04,27.6425,2.9,C,30.6812,6.4,C,34.0999,6.4,C,27.6825,3.0387,3.4187,3.8739,3.079,4.0054,1.7296259999999999,3.324553,1.9084740000000002,-47.0,5.8
XZ.A26,-122.801,44.42,0.1,55.0871,6.4,X,63.0498,6.4,X,70.376,6.4,X,55.1871,7.9627,7.3262,3.6808,2.0475,3.9931,1.791839,1.885128,1.772032,-27.3,29.9
XZ.A21,-123.038,44.42,0.1,45.3427,6.4,X,51.0241,6.4,X,53.7865,6.4,X,45.4427,5.6814,2.7624,3.9594,2.6473,3.4832,1.740668,3.228535,1.7727950000000001,49.1,14.0
XZ.A12,-123.49799999999999,44.42,0.65,35.4929,2.9,A,42.4136,2.1,A,47.4102,2.1,A,36.1429,6.9207,4.9966,3.9093,2.6955,3.8859,1.853247,2.2875900000000002,1.8611389999999999,2.9,15.6
CL.ALS0,-123.595,44.41,0.32,32.8942,2.9,A,36.7771,2.9,A,39.282,2.9,A,33.2142,3.8829,2.5049,3.8136,2.2817,3.3587,1.8600009999999998,2.969058,1.778456,35.9,13.1
UO.ALSE,-123.59,44.382,0.1,34.2153,2.9,A,41.3429,2.1,A,46.4576,2.1,A,34.3153,7.1276,5.1147,3.9374,2.8815,3.879,1.8565040000000002,2.172653,1.771359,4.1,16.5
XA.ALP0,-123.40700000000001,44.338,0.18,35.2949,2.1,A,45.1762,2.9,A,50.2213,2.1,A,35.4749,9.8813,5.0451,3.9543,2.8755,4.0497,1.8578259999999998,2.237489,1.7955400000000001,-14.5,15.0
CL.YAC1,-124.088,44.298,0.32,22.4079,2.1,A,26.4472,2.1,A,30.6004,1.4,A,22.7279,4.0393,4.1532,3.5561,2.3595,3.6408,1.731841,3.4292860000000003,1.9086459999999998,-80.6,3.7
UO.VITI,-123.318,44.282,0.26,40.1808,3.6,A,46.0099,2.9,A,54.4808,2.9,A,40.4408,5.8291,8.4709,3.8639,2.6165,4.0365,1.8594939999999998,2.9151540000000002,1.770519,3.2,15.7
UO.BUCK,-122.986,44.196999999999996,0.96,53.0153,2.1,C,58.3099,2.9,C,67.2312,2.9,C,53.9753,5.2946,8.9213,3.9596,2.3184,4.0459,1.6908020000000001,2.840795,1.9084259999999997,29.0,27.4
CL.BEER,-123.84700000000001,44.108000000000004,0.12,24.8503,3.6,B,33.7162,3.6,A,33.7162,3.6,B,24.9703,8.8659,0.0,3.5041,2.4531,3.3433,1.84033,2.9725650000000003,1.773607,-0.1,8.1
UO.EUO,-123.07,44.028999999999996,0.16,45.6016,6.4,A,54.0368,6.4,A,54.0368,6.4,X,45.7616,8.4352,0.0,3.9122,2.7413,4.0402,1.857548,2.023748,1.793797,18.8,14.1
CL.MAP0,-123.83,44.004,0.14,32.4504,1.4,A,35.5507,1.4,A,38.5753,1.4,A,32.5904,3.1003,3.0246,3.9522,2.6208,3.944,1.8594709999999999,2.431548,1.770157,26.7,11.5
TA.I03A,-123.27799999999999,43.973,0.21,35.7492,3.6,A,43.0468,3.6,A,47.4869,3.6,A,35.9592,7.2976,4.4401,3.9524,2.727,3.8265,1.790659,2.741217,1.7716450000000001,-68.2,0.1
UO.IRYS,-123.257,43.886,0.33,36.0089,6.4,A,45.046,6.4,B,48.1395,6.4,B,36.3389,9.0371,3.0935,3.9386,2.7097,3.6564,1.6951450000000001,2.547145,1.773411,-89.3,8.9
UW.JEDS,-124.04899999999999,43.751999999999995,0.16,26.9446,1.4,A,29.9907,2.1,A,33.0317,2.1,A,27.1046,3.0461,3.041,3.6407,3.0993,3.8565,1.8596419999999998,2.017649,1.898665,-25.6,6.9
UW.TAKO,-124.083,43.743,0.01,25.4677,2.1,A,28.6338,2.1,A,31.6566,2.1,A,25.4777,3.1661,3.0228,3.5187,2.7749,4.0461,1.8441189999999998,3.176439,1.9038830000000002,5.5,8.3
CL.DRAN,-123.34899999999999,43.696999999999996,0.14,36.6686,2.1,A,41.6129,2.1,A,43.9798,2.1,A,36.8086,4.9443,2.3669,3.5295,2.5983,3.8616,1.8494400000000002,2.614594,1.786772,26.0,12.6
YW.FACO,-123.807,43.536,0.2,29.3223,3.6,A,33.5091,6.4,A,35.4273,6.4,A,29.5223,4.1868,1.9182,3.51,2.845,3.6987,1.838177,2.521195,1.8156919999999999,17.9,9.7
YW.FACR,-123.12100000000001,43.434,0.37,37.9213,3.6,C,46.3101,2.9,C,49.7166,6.4,C,38.2913,8.3888,3.4065,3.8808,2.3482,3.3662,1.710395,1.794268,1.7713740000000002,-51.6,13.7
UO.VINO,-123.42200000000001,43.428000000000004,0.32,26.6735,6.4,C,35.0247,6.4,C,45.3621,6.4,C,26.9935,8.3512,10.3374,3.7847,2.5691,4.0482,1.6871349999999998,2.139154,1.9076380000000002,25.7,44.8
TA.J03A,-122.965,43.372,0.29,41.2143,6.4,X,50.0046,6.4,X,53.8837,6.4,X,41.5043,8.7903,3.8791,3.6203,2.7367,4.0424,1.8516970000000001,2.308218,1.897734,-60.0,44.8
TA.J02A,-123.575,43.365,0.14,35.212,2.1,A,39.3894,6.4,A,41.3743,6.4,A,35.352,4.1774,1.9849,3.9121,2.3857,3.2815,1.858593,3.3300919999999996,1.77233,-9.9,11.2
YW.FACP,-124.085,43.214,0.07,24.1126,2.1,A,25.439,6.4,C,31.7957,1.4,A,24.1826,1.3264,6.3567,3.5752,2.5546,3.6407,1.670955,1.823965,1.7730380000000001,-84.4,2.6
CL.LAIR,-123.931,43.161,0.13,25.5156,1.4,A,30.1612,2.1,A,33.8658,2.1,A,25.6456,4.6456,3.7046,3.5011,2.6874,3.3581,1.7515349999999998,1.770112,1.908907,13.0,17.1
UO.WYLD,-123.429,43.144,0.27,42.058,2.9,B,42.5789,6.4,C,48.3272,2.1,B,42.328,0.5209,5.7483,3.5414,2.9404,3.9805,1.79093,3.464699,1.852782,-10.7,15.4
