station,longitude,latitude,elevation,depth_t,uncert_t,qual_t,depth_c,uncert_c,qual_c,depth_m,uncert_m,qual_m,thick0,thick1,thick2,vs0,vs1,vs2,vpvs0,vpvs1,vpvs2,strike,dip
BK.RBOW,-124.111,40.335,1.1,15.2695,2.1,A,15.5407,0.7,A,29.3457,2.1,A,16.3695,0.2712,13.805,3.5009,2.2612,3.671,1.738696,1.79617,1.810978,-7.2,15.2
BK.PETL,-124.34299999999999,40.288000000000004,0.05,15.3803,2.1,B,18.3084,1.4,B,27.3868,2.1,B,15.4303,2.9281,9.0784,3.5358,2.6104,3.9972,1.697381,1.7713759999999998,1.817998,-43.3,20.0
XQ.ME37,-123.654,40.285,0.5,21.1102,1.4,A,23.1635,2.1,A,30.4169,3.6,A,21.6102,2.0533,7.2534,3.5034,2.8976,3.6928,1.67012,3.491855,1.793869,85.5,4.9
XQ.ME36,-124.164,40.248000000000005,0.07,15.223,2.1,A,15.2458,0.7,A,26.7015,1.4,A,15.293,0.0228,11.4557,3.5093,1.9315,4.0484,1.673468,1.769972,1.778184,-71.8,9.2
XQ.ME08,-123.305,40.222,0.83,18.3905,4.3,B,28.6869,6.4,C,30.7495,2.1,B,19.2205,10.2964,2.0626,3.5111,2.8781,3.8416,1.853977,2.132136,1.770252,-18.3,13.9
NC.KMR,-123.709,40.202,0.92,17.1411,3.6,B,17.204,3.6,C,30.9979,3.6,B,18.0611,0.0629,13.7939,3.556,1.6494,3.924,1.8580150000000002,2.4541049999999998,1.8634560000000002,-28.9,15.3
XQ.ME39,-123.594,40.188,0.34,18.203,1.4,B,18.2329,6.4,X,31.8647,1.4,A,18.543,0.0299,13.6318,3.654,1.31,3.9758,1.8370830000000002,3.336641,1.902133,-31.2,0.6
CL.O02D,-122.788,40.177,0.96,28.057,2.1,C,40.3284,2.9,B,45.9268,2.9,B,29.017,12.2714,5.5984,3.8951,1.3778,4.0435,1.7301220000000002,1.7796490000000003,1.7729439999999999,2.2,41.0
BK.PETY,-122.788,40.177,0.96,30.2605,6.4,X,38.569,6.4,X,50.3213,6.4,X,31.2205,8.3085,11.7523,3.886,1.5166,4.0484,1.770072,3.350257,1.866416,11.4,44.8
TA.O01C,-123.82,40.14,0.14,17.8492,2.1,A,17.8562,6.4,C,28.2626,2.1,A,17.9892,0.007,10.4064,3.5027,2.3787,3.6223,1.8578810000000001,1.800395,1.907517,10.2,6.5
BK.BRIC,-123.897,40.111999999999995,0.18,8.7058,6.4,X,8.7568,6.4,X,23.1175,6.4,X,8.8858,0.051,14.3607,3.5309,2.1677,4.0497,1.832366,3.283895,1.792972,-52.3,41.7
XQ.ME38,-123.50299999999999,40.101,0.28,21.2937,3.6,A,21.5815,6.4,X,29.9777,3.6,A,21.5737,0.2878,8.3962,3.5226,2.335,3.7567,1.8579459999999999,1.7720770000000001,1.8699919999999999,81.4,3.0
NC.KCPB,-123.58200000000001,39.686,1.26,14.3006,6.4,A,18.2211,6.4,A,20.3186,6.4,A,15.5606,3.9205,2.0975,3.5001,3.099,3.2732,1.81732,3.489061,1.770561,-59.6,4.3
